id_cel,label,area,compacidade,excentricidade
10,ASC-H,6622,0.0163,0.66
10000,ASC-H,1153,0.0464,2.53
10001,ASC-H,2794,0.0454,1.67
10002,ASC-H,2991,0.0464,1.48
10003,ASC-H,1467,0.0717,0.58
10004,ASC-H,1500,0.0666,0.54
10005,ASC-H,1952,0.0559,1.17
10006,ASC-H,1651,0.0516,1.0
10007,ASC-H,2882,0.063,0.77
10008,ASC-H,17560,0.0067,0.91
10009,ASC-H,2512,0.0345,2.49
10010,ASC-H,572,0.0741,0.7
10011,ASC-H,583,0.0654,1.12
10012,ASC-H,865,0.0525,1.0
10013,ASC-H,4372,0.0211,0.79
10014,ASC-H,1163,0.0683,0.99
10015,ASC-H,12745,0.0075,1.05
10016,ASC-H,9245,0.0244,0.6
10017,ASC-H,12132,0.0336,2.29
10018,ASC-H,2376,0.0231,0.72
10019,ASC-H,1312,0.0529,1.07
10020,ASC-H,12852,0.0193,1.26
10021,ASC-H,10898,0.0109,1.42
10022,ASC-H,13878,0.0185,1.89
10023,ASC-H,17111,0.0184,1.2
10024,ASC-H,20423,0.0212,1.24
10025,ASC-H,19490,0.0301,1.33
10026,ASC-H,16306,0.0227,1.46
10027,ASC-H,14587,0.0275,1.56
10028,ASC-H,16666,0.0232,1.5
10029,ASC-H,7617,0.0329,0.68
10030,ASC-H,1084,0.0476,0.96
10031,ASC-H,7418,0.0361,0.75
10032,ASC-H,7418,0.0361,0.75
10033,ASC-H,3588,0.0323,1.63
10035,ASC-H,1601,0.0612,1.12
10036,ASC-H,1294,0.065,1.14
10071,ASC-H,8600,0.0283,1.24
10072,ASC-H,10571,0.0133,1.59
10073,ASC-H,1724,0.0657,0.7
10074,ASC-H,6067,0.0225,0.83
10075,ASC-H,10074,0.0143,1.81
10076,ASC-H,2061,0.0463,1.66
10077,ASC-H,4020,0.0284,1.13
10078,ASC-H,3657,0.0291,1.19
10079,ASC-H,4020,0.0284,1.13
10080,ASC-H,3975,0.0281,1.14
10081,ASC-H,5262,0.0222,1.35
10082,ASC-H,6366,0.0207,1.73
10083,ASC-H,1581,0.0542,1.52
10084,ASC-H,2853,0.0322,1.61
10085,ASC-H,1310,0.0712,0.81
11,ASC-H,15522,0.0105,1.54
11470,ASC-H,6240,0.0513,0.74
11471,ASC-H,13158,0.0257,0.44
11472,ASC-H,6892,0.0393,0.86
12,ASC-H,17101,0.008,0.93
13,ASC-H,16600,0.0142,0.54
131,ASC-H,938,0.0538,1.54
14,ASC-H,27016,0.0133,0.73
15,ASC-H,8048,0.0144,0.73
16,ASC-H,6059,0.0144,0.79
17,ASC-H,12209,0.023,0.47
1906,ASC-H,3919,0.0629,0.75
1907,ASC-H,10195,0.0268,0.73
1908,ASC-H,2702,0.0522,0.84
1909,ASC-H,10568,0.0246,0.61
1910,ASC-H,1699,0.0695,0.96
1911,ASC-H,5541,0.0262,0.94
1912,ASC-H,9279,0.0171,1.02
1913,ASC-H,7374,0.0217,1.28
1914,ASC-H,4096,0.0464,1.14
1915,ASC-H,7668,0.0144,0.33
1916,ASC-H,1725,0.0719,0.77
1917,ASC-H,2062,0.0603,1.43
1918,ASC-H,9664,0.0257,1.15
1919,ASC-H,5614,0.0221,1.16
1920,ASC-H,4078,0.0435,1.39
1921,ASC-H,1714,0.0615,1.12
1922,ASC-H,5506,0.0185,1.47
1923,ASC-H,11288,0.0217,1.3
1924,ASC-H,2300,0.0467,1.84
1925,ASC-H,16061,0.0141,1.27
1926,ASC-H,19035,0.0096,0.78
1927,ASC-H,12724,0.017,0.65
1928,ASC-H,9847,0.0251,0.7
1929,ASC-H,4232,0.0309,0.82
1930,ASC-H,4196,0.0303,0.85
1931,ASC-H,2144,0.0688,0.85
1932,ASC-H,3742,0.0478,0.81
1933,ASC-H,3291,0.0352,0.69
1934,ASC-H,5825,0.0216,1.93
1966,ASC-H,9495,0.0347,1.28
1967,ASC-H,9747,0.0403,1.27
1968,ASC-H,5404,0.0702,0.72
1969,ASC-H,4763,0.067,1.06
1974,ASC-H,5361,0.0661,1.03
1975,ASC-H,16252,0.0136,0.87
1976,ASC-H,25618,0.0127,0.85
1977,ASC-H,3490,0.0515,0.79
