image_id,image_filename,image_doi,cell_id,bethesda_system,nucleus_x,nucleus_y
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,527,LSIL,998,890
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,528,LSIL,645,600
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,529,LSIL,609,585
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,530,Negative for intraepithelial lesion,393,140
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,531,Negative for intraepithelial lesion,348,207
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,532,Negative for intraepithelial lesion,679,465
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,533,Negative for intraepithelial lesion,703,757
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,534,Negative for intraepithelial lesion,854,751
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,535,Negative for intraepithelial lesion,770,895
385,5c64597b1e31000275d0d6d97f935d58.png,10.6084/m9.figshare.12230840,815,ASC-H,775,197
385,5c64597b1e31000275d0d6d97f935d58.png,10.6084/m9.figshare.12230840,816,ASC-H,763,367
385,5c64597b1e31000275d0d6d97f935d58.png,10.6084/m9.figshare.12230840,817,ASC-H,694,327
385,5c64597b1e31000275d0d6d97f935d58.png,10.6084/m9.figshare.12230840,818,ASC-H,750,289
385,5c64597b1e31000275d0d6d97f935d58.png,10.6084/m9.figshare.12230840,819,ASC-H,785,267
385,5c64597b1e31000275d0d6d97f935d58.png,10.6084/m9.figshare.12230840,820,ASC-H,747,460
385,5c64597b1e31000275d0d6d97f935d58.png,10.6084/m9.figshare.12230840,821,ASC-H,983,675
385,5c64597b1e31000275d0d6d97f935d58.png,10.6084/m9.figshare.12230840,822,Negative for intraepithelial lesion,479,169
